Stall Name,Food Item Name,Category,Price,Description,Location,Mins,Location
La Taqueria,Veggie Quesadilla,Mexican,$8.99 ,"A grilled flour tortilla filled with sautéed vegetables, cheese, and sour cream, served with guacamole and salsa.",Ascari Chicane,37,"45.621926 ,9.285407"
La Taqueria,Chips and Salsa,Mexican,$3.99 ,A basket of crispy tortilla chips served with freshly made salsa.,Ascari Chicane,37,"45.621926 ,9.285407"
Snack Attack,Nachos,Mexican,$8.99 ,"Crispy tortilla chips topped with melted cheese, jalapenos, sour cream, and salsa.",Start/Finish Line,43,"45.6158 ,9.2812"
Taco Time,Chicken Quesadillas,Mexican,$9.99 ,"Grilled chicken and melted cheese sandwiched between two flour tortillas, served with salsa and sour cream.",Ascari Chicane,15,"45.621926 ,9.285407"
Tasty Tacos,Carne Asada Tacos,Mexican,$10.00 ,"Soft corn tortillas filled with grilled steak, onions, and cilantro, served with salsa and lime.",Start/Finish Line,48,"45.6158 ,9.2812"
Tasty Tacos,Fish Tacos,Mexican,$8.00 ,"Soft corn tortillas filled with crispy fried fish, cabbage slaw, and spicy mayo.",Start/Finish Line,48,"45.6158 ,9.2812"
Tasty Tacos,Chicken Tinga Tacos,Mexican,$8.00 ,"Soft corn tortillas filled with shredded chicken in a smoky chipotle sauce, topped with queso fresco.",Start/Finish Line,48,"45.6158 ,9.2812"
Tasty Tacos,Veggie Tacos,Mexican,$6.00 ,"Soft corn tortillas filled with sautéed vegetables, black beans, and guacamole.",Start/Finish Line,48,"45.6158 ,9.2812"
Tasty Tacos,Quesadillas,Mexican,$8.00 ,"Grilled flour tortillas filled with melted cheese, grilled chicken, and peppers, served with salsa.",Start/Finish Line,48,"45.6158 ,9.2812"
The Sandwich Spot,Chips and Guacamole,Mexican,$4.99 ,A bowl of freshly made guacamole served with tortilla chips.,Variante della Roggia,19,"45.630373 ,9.291853"
The Snack Bar,Nachos,Mexican,$6.99 ,"Crispy tortilla chips topped with melted cheese, salsa, sour cream, and your choice of beef or chicken.",Lesmo 2,24,"45.628667 ,9.29616"
The Snack Shack,Nachos,Mexican,$8.99 ,"Crispy tortilla chips topped with melted cheddar cheese, black beans, diced tomatoes, jalapenos, and sour cream.",Ascari Chicane,15,"45.621926 ,9.285407"
The Kebab Shop,Lamb Kebab,Indian,$10.00 ,"Grilled lamb served on a warm pita with lettuce, tomato, onions, and a creamy yogurt sauce.",Start/Finish Line,26,"45.6158 ,9.2812"
The Kebab Shop,Falafel Wrap,Middle Eastern,$8.00 ,"A wrap filled with crispy falafel balls, hummus, vegetables, and a tangy tahini sauce.",Start/Finish Line,26,"45.6158 ,9.2812"
The Kebab Shop,Chicken Shawarma Plate,Middle Eastern,$12.00 ,"Grilled chicken served with rice, hummus, tabbouleh, and pita bread.",Start/Finish Line,26,"45.6158 ,9.2812"
The Kebab Shop,Beef Kabob Skewers,Middle Eastern,$10.00 ,Grilled marinated beef skewers served with rice and a side salad.,Start/Finish Line,26,"45.6158 ,9.2812"
The Kebab Shop,Baklava,Middle Eastern,$6.00 ,"A sweet pastry made with layers of phyllo dough, chopped nuts, and honey syrup.",Start/Finish Line,26,"45.6158 ,9.2812"
Fresh Fruit Paradise,Fruit Salad,Salads,$6.99 ,A colorful and healthy salad made with mixed fruits and a citrus dressing.,Parabolica,35,"45.610716 ,9.283778"
Greek Eats,Greek Salad,Greek,$7.99 ,"A refreshing salad made with crisp lettuce, juicy tomatoes, cucumbers, bell peppers, onions, olives, and feta cheese, dressed with a tangy and herb-infused vinaigrette.",Curva Grande,17,"45.629193 ,9.282877"
The Pizza Place,Caesar Salad,American,$7.99 ,"Fresh romaine lettuce, Parmesan cheese, and croutons tossed with Caesar dressing.",Variante del Rettifilo,37,"45.624938 ,9.281611"
The Vegan Kitchen,Chickpea Salad,Vegan,$7.99 ,"A refreshing salad made with chickpeas, cucumber, tomatoes, and parsley, dressed with a zesty lemon vinaigrette.",Curva Grande,24,"45.629193 ,9.282877"
The Sandwich Spot,Turkey Avocado Sandwich,American,$8.99 ,"Roasted turkey breast, avocado, lettuce, tomato, and mayo on toasted wheat bread.",Variante della Roggia,19,"45.630373 ,9.291853"
The Sandwich Spot,Meatball Sub,American,$9.99 ,"Meatballs in marinara sauce, mozzarella cheese, and Parmesan cheese, served on a toasted sub roll.",Variante della Roggia,19,"45.630373 ,9.291853"
The Sandwich Spot,Caprese Panini,Italian,$7.99 ,"Fresh mozzarella cheese, tomato, basil, and balsamic glaze on grilled ciabatta bread.",Variante della Roggia,19,"45.630373 ,9.291853"
Fish n' Chips Corner,Fish and Chips,American,$10.99 ,"Crispy and golden fish fillets, served with a side of fries and tartar sauce.",Ascari Chicane,16,"45.621926 ,9.285407"
Fish n' Chips Corner,Shrimp Basket,American,$11.99 ,"Breaded and fried shrimp, served with a side of fries and cocktail sauce.",Ascari Chicane,16,"45.621926 ,9.285407"
Fish n' Chips Corner,Lobster Roll,American,$12.99 ,"A classic New England sandwich made with succulent lobster meat, mixed with mayonnaise, celery, and herbs, and served on a buttered and toasted roll.",Ascari Chicane,16,"45.621926 ,9.285407"
The Fry Guys,Fish and Chips,American,$11.99 ,"Crispy battered cod served with French fries, tartar sauce, and lemon wedges.",Variante della Roggia,29,"45.630373 ,9.291853"
The Juice Bar,Vegan Protein Shake,Vegan,$7.99 ,"A protein shake made with vegan protein powder, almond milk, banana, and peanut butter.",Parabolica,44,"45.610716 ,9.283778"
The Burger Joint,Sweet Potato Fries,American,$4.99 ,"Crispy sweet potato fries seasoned with sea salt and rosemary, served with chipotle mayo dipping sauce.",Curva Grande,35,"45.629193 ,9.282877"
The Fry Guys,Truffle Fries,American,$5.99 ,"Crispy French fries tossed with truffle oil and Parmesan cheese, served with garlic aioli dipping sauce.",Variante della Roggia,29,"45.630373 ,9.291853"
The Fry Guys,Onion Rings,American,$4.99 ,"Crispy beer-battered onion rings, served with chipotle ranch dipping sauce.",Variante della Roggia,29,"45.630373 ,9.291853"
The Pizza Place,Garlic Knots,American,$4.99 ,Soft bread knots brushed with garlic butter and served with marinara sauce for dipping.,Variante del Rettifilo,37,"45.624938 ,9.281611"
The Snack Shack,Loaded Tater Tots,American,$5.99 ,"Crispy tater tots topped with melted cheddar cheese, bacon bits, and green onions, served with ranch dressing.",Ascari Chicane,15,"45.621926 ,9.285407"
The Juice Bar,Green Smoothie,Beverages,$5.99 ,"A healthy and refreshing smoothie made with spinach, kale, banana, and almond milk.",Parabolica,44,"45.610716 ,9.283778"
Spanish Tapas,Patatas Bravas,Spanish,$6.00 ,Crispy fried potatoes served with a spicy tomato sauce.,Curva Grande,17,"45.629193 ,9.282877"
Spanish Tapas,Chorizo in Red Wine,Spanish,$8.00 ,Sliced chorizo sausage cooked in a red wine sauce.,Curva Grande,17,"45.629193 ,9.282877"
Spanish Tapas,Tortilla Española,Spanish,$7.00 ,"A traditional Spanish omelet made with potatoes, onions, and eggs.",Curva Grande,17,"45.629193 ,9.282877"
Spanish Tapas,Croquetas de Jamón,Spanish,$7.00 ,Fried croquettes filled with creamy béchamel sauce and diced ham.,Curva Grande,17,"45.629193 ,9.282877"
Spanish Tapas,Gambas al Ajillo,Spanish,$10.00 ,Sautéed shrimp in a garlic and chili oil sauce.,Curva Grande,17,"45.629193 ,9.282877"
Wok It Out,Pad Thai,Thai,$10.00 ,"A stir-fried noodle dish made with rice noodles, tofu, shrimp, and vegetables, topped with peanuts and cilantro.",Variante del Rettifilo,10,"45.624938 ,9.281611"
Wok It Out,Pineapple Fried Rice,Thai,$8.00 ,"Fried rice made with pineapple, shrimp, chicken, and vegetables, topped with cashews.",Variante del Rettifilo,10,"45.624938 ,9.281611"
Wok It Out,Green Curry Chicken,Thai,$12.00 ,"A spicy chicken curry made with coconut milk, green chilies, and basil, served with rice.",Variante del Rettifilo,10,"45.624938 ,9.281611"
Wok It Out,Tom Yum Soup,Thai,$5.00 ,"A hot and sour soup made with lemongrass, chili, lime juice, and shrimp.",Variante del Rettifilo,10,"45.624938 ,9.281611"
Wok It Out,Beef Satay,Thai,$8.00 ,"Marinated beef skewers, grilled and served with peanut sauce.",Variante del Rettifilo,10,"45.624938 ,9.281611"
Wok This Way,Pad Thai Noodles,Thai,$10.99 ,"Stir-fried rice noodles with chicken, shrimp, egg, bean sprouts, and peanuts, seasoned with tamarind and chili.",Variante della Roggia,19,"45.630373 ,9.291853"
The Green Bowl,Quinoa Bowl,Vegan,$9.99 ,"A hearty bowl of quinoa, mixed greens, roasted sweet potatoes, chickpeas, and a tangy lemon tahini dressing.",Lesmo 2,49,"45.628667 ,9.29616"
The Green Bowl,Vegan Burger,Vegan,$8.99 ,"A delicious plant-based burger made with a juicy patty made of black beans, mushrooms, and other veggies. Served with avocado, lettuce, tomato, and spicy mayo.",Lesmo 2,49,"45.628667 ,9.29616"
The Juice Bar,Acai Bowl,Vegan,$9.99 ,"A bowl of blended acai berries, topped with granola, sliced bananas, and coconut flakes.",Parabolica,44,"45.610716 ,9.283778"
The Vegan Kitchen,Tofu Stir-Fry,Vegan,$10.99 ,"A stir-fry made with crispy tofu, broccoli, carrots, and bell peppers, all tossed in a savory and slightly sweet sauce.",Curva Grande,24,"45.629193 ,9.282877"
The Vegan Kitchen,Vegan Pizza,Vegan,$12.99 ,"A delicious pizza made with a thin and crispy crust, tangy tomato sauce, and topped with vegan cheese, spinach, and roasted vegetables.",Curva Grande,24,"45.629193 ,9.282877"
The Hummus Stop,Falafel Wrap,Mediterranean,$8.99 ,"A wrap filled with crispy and savory falafel, lettuce, tomato, and creamy hummus.",Ascari Chicane,37,"45.621926 ,9.285407"
The Burger Palace,Double Bacon Cheeseburger,American,$9.99 ,"Juicy beef patty topped with crispy bacon, melted cheddar cheese, lettuce, and tomato.",NULL,40,#N/A
The Waffle House,Belgian Waffles,Breakfast,$7.50 ,Crispy golden waffles served with butter and maple syrup.,NULL,NULL,#N/A
Tacos El Rey,Chicken Tacos,NULL,$8.99 ,"Soft tortillas filled with seasoned shredded chicken, lettuce, and cheese.",Variante del Rettifilo,25,"45.624938 ,9.281611"
Mama's Italian Kitchen,Spaghetti and Meatballs,NULL,$12.99 ,Classic spaghetti and meatballs served with garlic bread.,Lesmo 2,50,"45.628667 ,9.29616"
The Green Smoothie Bar,Kale and Pineapple Smoothie,Drinks,$5.99 ,"A refreshing blend of kale, pineapple, and apple juice.",Parabolica,NULL,"45.610716 ,9.283778"
The Taco Shack,Carne Asada Tacos,Mexican,$9.99 ,"Soft tortillas filled with juicy grilled steak, onion, and cilantro. Served with a side of salsa.",NULL,30,#N/A
The Chicken Coop,NULL,American,$11.50 ,Juicy and tender rotisserie chicken served with your choice of two sides.,Ascari Chicane,20,"45.621926 ,9.285407"
The Poke Bowl Station,Spicy Tuna Poke Bowl,Hawaiian,NULL,Fresh diced tuna tossed in a spicy marinade and served over a bed of rice.,Parabolica,20,"45.610716 ,9.283778"
The Bagel Cafe,Everything Bagel with Cream Cheese,Breakfast,$3.50 ,A classic everything bagel topped with creamy and tangy cream cheese.,NULL,NULL,#N/A
The Crepe Station,Ham and Cheese Crepe,NULL,$7.99 ,Thin and delicate crepe filled with ham and melted cheese. Served with a side of salad.,Variante del Rettifilo,25,"45.624938 ,9.281611"
